ID,Class/Name,Level Cap,Format,Pokemon 1 Icon,Pokemon 1 Name,Pokemon 1 Level,Pokemon 1 Nature,Pokemon 1 Ability,Item 1 Icon,Item 1 Name,Pokemon 1 Move 1,Pokemon 1 Move 2,Pokemon 1 Move 3,Pokemon 1 Move 4,Pokemon 1 IV,Pokemon 1 EV,Pokemon 2 Icon,Pokemon 2 Name,Pokemon 2 Level,Pokemon 2 Nature,Pokemon 2 Ability,Item 2 Icon,Item 2 Name,Pokemon 2 Move 1,Pokemon 2 Move 2,Pokemon 2 Move 3,Pokemon 2 Move 4,Pokemon 2 IV,Pokemon 2 EV,Pokemon 3 Icon,Pokemon 3 Name,Pokemon 3 Level,Pokemon 3 Nature,Pokemon 3 Ability,Item 3 Icon,Item 3 Name,Pokemon 3 Move 1,Pokemon 3 Move 3,Pokemon 3 Move 2,Pokemon 3 Move 4,Pokemon 3 IV,Pokemon 3 EV,Pokemon 4 Icon,Pokemon 4 Name,Pokemon 4 Level,Pokemon 4 Nature,Pokemon 4 Ability,Item 4 Icon,Item 4 Name,Pokemon 4 Move 1,Pokemon 4 Move 2,Pokemon 4 Move 3,Pokemon 4 Move 4,Pokemon 4 IV,Pokemon 4 EV,Pokemon 5 Icon,Pokemon 5 Name,Pokemon 5 Level,Pokemon 5 Nature,Pokemon 5 Ability,Item 5 Icon,Item 5 Name,Pokemon 5 Move 1,Pokemon 5 Move 2,Pokemon 5 Move 3,Pokemon 5 Move 4,Pokemon 5 IV,Pokemon 5 EV,Pokemon 6 Icon,Pokemon 6 Name,Pokemon 6 Level,Pokemon 6 Nature,Pokemon 6 Ability,Item 6 Icon,Item 6 Name,Pokemon 6 Move 1,Pokemon 6 Move 2,Pokemon 6 Move 3,Pokemon 6 Move 4,Pokemon 6 IV,Pokemon 6 EV,Item(s),Special Note(s)
,------ MAIN GAME ------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,---Select Team---,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
663,Barry (Route 201) [Turtwig],Level Cap: 16,Format: Doubles,,Turtwig,5,Serious,Overgrow,,None,Tackle,Withdraw,,,All 0,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,None
664,Barry (Route 201) [Chimchar],Level Cap: 16,Format: Singles,,Chimchar,5,Hardy,Blaze,,None,Scratch,Leer,,,All 0,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,None
665,Barry (Route 201) [Piplup],Level Cap: 18,Format: Singles,,Piplup,5,Bashful,Torrent,,None,Pound,Growl,,,All 0,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,None
685,Lucas (Route 202) [Turtwig],Level Cap: 16,Format: Singles,,Turtwig,9,Bashful,Overgrow,,None,Tackle,Withdraw,Absorb,Leafage,All 0,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,None
686,Lucas (Route 202) [Chimchar],Level Cap: 16,Format: Singles,,Chimchar,9,Docile,Blaze,,None,Leer,Scratch,Ember,Taunt,All 0,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,None
684,Lucas (Route 202) [Piplup],Level Cap: 16,Format: Singles,,Piplup,9,Bashful,Torrent,,None,Pound,Growl,Water Gun,Bubble,All 0,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,None
691,Dawn (Route 202) [Turtwig],Level Cap: 16,Format: Singles,,Turtwig,9,Serious,Overgrow,,None,Tackle,Withdraw,Absorb,Leafage,All 0,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,None
692,Dawn (Route 202) [Chimchar],Level Cap: 16,Format: Singles,,Chimchar,9,Serious,Blaze,,None,Leer,Scratch,Ember,Taunt,All 0,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,None
