ZoneID,Japanese Name,Machine Translated,City,Actual,File Path,Zone Name
0,コトブキシティ,Kotobuki City,Jubilife City,Jubilife City,fields/area001,C01
1,コトブキ:フレンドリーショップ,Kotobuki : Friendly Shop,Jubilife City,Jubilife - Poké Mart,prefab_map/t02fs0101,C01FS0101
2,コトブキ:ポケモンセンター 1F,Kotobuki : Pokémon Center 1F,Jubilife City,Jubilife - Center 1F,prefab_map/t02pc0101,C01PC0101
3,コトブキ:ポケモンセンター 2F,Kotobuki : Pokémon Center 2F,Jubilife City,Jubilife - Center 2F,prefab_map/t02pc0102,C01PC0102
4,コトブキ:ポケモンセンター B1F,Kotobuki : Pokémon Center B1F,Jubilife City,Jubilife - Center B1F,prefab_map/t02pc0103,C01PC0103
5,コトブキ:ポケッチカンパニー 1F,Kotobuki : Pokéttsch Company 1F,Jubilife City,Jubilife - Pokétch Company 1F,prefab_map/c01r0101,C01R0101
6,コトブキ:ポケッチカンパニー 2F,Kotobuki : Pokéch Company 2F,Jubilife City,Jubilife - Pokétch Company 2F,prefab_map/c01r0102,C01R0102
7,コトブキ:ポケッチカンパニー 3F,Kotobuki : Pokéttsch Company 3F,Jubilife City,Jubilife - Pokétch Company 3F,prefab_map/c01r0103,C01R0103
8,コトブキ:TV局 1F,Kotobuki: TV Station 1F,Jubilife City,Jubilife TV - 1F,prefab_map/c01r0201,C01R0201
9,コトブキ:TV局 2F,Kotobuki: TV Station 2F,Jubilife City,Jubilife TV - 2F,prefab_map/c01r0202,C01R0202
10,コトブキ:TV局 3F,Kotobuki: TV Station 3F,Jubilife City,Jubilife TV - 3F,prefab_map/c01r0203,C01R0203
11,コトブキ:TV局 4F,Kotobuki: TV Station 4F,Jubilife City,Jubilife TV - 4F,prefab_map/c01r0204,C01R0204
12,コトブキ:TV局 クリップの部屋（への道）,Kotobuki : TV station clip room (road to),Jubilife City,Jubilife TV - Gym Leader Capsules,prefab_map/c01r0205,C01R0205
13,コトブキ:TV局 ギネスの部屋1,Kotobuki: Tv Station Guinness Room 1,Jubilife City,Jubilife TV - Global Ranking Room,prefab_map/c01r0206,C01R0206
14,コトブキ:TV局 ギネスの部屋2,Kotobuki: Tv Station Guinness Room 2,Jubilife City,Jubilife TV - Group Ranking Room,prefab_map/c01r0207,C01R0207
15,コトブキ:TV局 EV,Kotobuki : TV Station EV,Jubilife City,Jubilife TV - Elv.,prefab_map/c01r0208,C01R0208
16,コトブキ:ビル1 1F,Kotobuki : Building 1 1F,Jubilife City,Jubilife - Bdg. 1 1F (South),prefab_map/c01r0301,C01R0301
17,コトブキ:ビル1 2F,Kotobuki : Building 1 2F,Jubilife City,Jubilife - Bdg. 1 2F (South),prefab_map/c01r0302,C01R0302
18,コトブキ:ビル2 1F,Kotobuki : Building 2 1F,Jubilife City,Jubilife - Bdg. 2 1F (Condominiums),prefab_map/c01r0301,C01R0501
19,コトブキ:ビル2 2F,Kotobuki : Building 2 2F,Jubilife City,Jubilife - Bdg. 2 2F (Condominiums),prefab_map/c01r0302,C01R0502
20,コトブキ:GTC,Kotobuki: GTC,Jubilife City,Jubilife - GWS,prefab_map/c01r0601,C01R0601
21,コトブキ:トレーナースクール 1F,Kotobuki : Trainer School 1F,Jubilife City,Jubilife - Trainer's School,prefab_map/c01r0701,C01R0701
22,コトブキ:コトブキビル3 1F,Kotobuki : Kotobuki Building 3 1F,Jubilife City,Jubilife - Bdg. 3 1F (SW by GWS),prefab_map/c01r0301,C01R0801
23,コトブキ:コトブキ:ビル3 2F,Kotobuki : Kotobuki : Bill 3 2F,Jubilife City,Jubilife - Bdg. 3 2F (SW by GWS),prefab_map/c01r0302,C01R0802
24,ミオシティ,Mio City,Canalave City,Canalave City,fields/area001,C02
25,ミオ:フレンドリィショップ,Mio : Friendly Shop,Canalave City,Canalave - Poké Mart,prefab_map/t02fs0101,C02FS0101
26,ミオ:ミオジム（鋼）,Mio : Mio Gym (Steel),,Canalave - Gym,prefab_map/c02gym0101,C02GYM0101
27,ミオ:ポケモンセンター 1F,Mio : Pokémon Center 1F,Canalave City,Canalave - Center 1F,prefab_map/t02pc0101,C02PC0101
28,ミオ:ポケモンセンター 2F,Mio : Pokémon Center 2F,Canalave City,Canalave - Center 2F,prefab_map/t02pc0102,C02PC0102
29,ミオ:ポケモンセンター B1F,Mio : Pokémon Center B1F,Canalave City,Canalave - Center B1F,prefab_map/t02pc0103,C02PC0103
30,ミオ:図書館 1F,Mio : Library 1F,Canalave City,Canalave - Library 1F,prefab_map/c02r0101,C02R0101
31,ミオ:図書館 2F,Mio : Library 2F,Canalave City,Canalave - Library 2F,prefab_map/c02r0102,C02R0102
32,ミオ:図書館 3F,Mio : Library 3F,Canalave City,Canalave - Library 3F,prefab_map/c02r0103,C02R0103
33,ミオ:民家1,Mio : Private House 1,Canalave City,Canalave - House 1 (SE),prefab_map/t01r0301,C02R0201
34,ミオ:民家2,Mio : Private House 2,Canalave City,Canalave - House 2 (South of Center),prefab_map/t01r0301,C02R0301
35,ミオ:民家3（ダークイベント用民家）,Mio : Private House 3(Dark Event Private House),Canalave City,Canalave - Darkrai House,prefab_map/c02r0501,C02R0401
36,ミオ:民家4（ムーバスイベント用民家）,Mio : Private House 4(Private House for Moobus Event),Canalave City,Canalave - House 4 (SW),prefab_map/c02r0501,C02R0501
37,ミオ:民家5（インタビュアー）,Mio : Private House 5(Interviewer),Canalave City,Canalave - House 5 (South of Gym),prefab_map/c04r0701,C02R0601
38,クロガネシティ,Kurogane City,Oreburgh City,Oreburgh City,fields/area002,C03
39,クロガネ:フレンドリィショップ,Kurogane : Friendly Shop,Oreburgh City,Oreburgh - Poké Mart,prefab_map/t02fs0101,C03FS0101
40,クロガネ:クロガネジム（岩）,Black Crab : Kuroganesim (Rock),,Oreburgh - Gym,prefab_map/c03gym0101,C03GYM0101
41,クロガネ:ポケモンセンター 1F,Black Crab : Pokémon Center 1F,Oreburgh City,Oreburgh - Center 1F,prefab_map/t02pc0101,C03PC0101
42,クロガネ:ポケモンセンター 2F,Black Crab : Pokémon Center 2F,Oreburgh City,Oreburgh - Center 2F,prefab_map/t02pc0102,C03PC0102
43,クロガネ:ポケモンセンター B1F,Black Crab : Pokémon Center B1F,Oreburgh City,Oreburgh - Center B1F,prefab_map/t02pc0103,C03PC0103
44,クロガネ:ビル1 1F,Black crab : Bill 1 1F,Oreburgh City,Oreburgh - Bdg. 1 1F (most NW),prefab_map/c01r0301,C03R0101
45,クロガネ:ビル1 2F,Black Crab : Bill 1 2F,Oreburgh City,Oreburgh - Bdg. 1 2F (most NW),prefab_map/c01r0302,C03R0102
46,クロガネ:ビル2 1F,Black crab : Bill 2 1F,Oreburgh City,Oreburgh - Bdg. 2 1F (West of Mart),prefab_map/c01r0301,C03R0201
47,クロガネ:ビル2 2F,Black Crab : Bill 2 2F,Oreburgh City,Oreburgh - Bdg. 2 2F (West of Mart),prefab_map/c01r0302,C03R0202
48,クロガネ:民家1,Black crab : Private house 1,Oreburgh City,Oreburgh - House 1 (West of Center),prefab_map/t01r0301,C03R0301
49,クロガネ:炭坑博物館 1F,Black crab : Coal Mine Museum 1F,Oreburgh City,Oreburgh - Mining Museum,prefab_map/c03r0401,C03R0401
50,クロガネ:民家2,Black crab : Private house 2,Oreburgh City,Oreburgh - House 2 (West of Gym),prefab_map/t01r0301,C03R0501
51,クロガネ:ビル3 1F,Black crab : Bill 3 1F,Oreburgh City,Oreburgh - Bdg. 3 1F (SE of Center),prefab_map/c01r0301,C03R0601
52,クロガネ:ビル3 2F,Black Crab : Bill 3 2F,Oreburgh City,Oreburgh - Bdg. 3 2F (SE of Center),prefab_map/c01r0302,C03R0602
53,クロガネ:民家3,Black crab : Private house 3,Oreburgh City,Oreburgh - House 3 (Near Mine),prefab_map/t01r0301,C03R0701
54,ハクタイシティ,Hakutai City,Eterna City,Eterna City,fields/area003,C04
55,ハクタイ:フレンドリィショップ,Hakutai : Friendly Shop,Eterna City,Eterna - Poké Mart,prefab_map/t02fs0101,C04FS0101
56,ハクタイ:ハクタイポケモンジム1（草）,Hakutai : Hakutai Pokémon Gym 1(Grass),,Eterna - Gym Lobby,prefab_map/c04gym0101,C04GYM0101
57,ハクタイ:ハクタイポケモンジム2（草）,Hakutai : Hakutai Pokémon Gym 2(Grass),,Eterna - Gym Main Room,prefab_map/c04gym0102,C04GYM0102
